date,id_reg,desc_reg,load_mwmed
2000-01-26 00:00:00,N,NORTE,2463.06666667
2000-01-26 00:00:00,NE,NORDESTE,5995.96666667
2000-01-26 00:00:00,S,SUL,7229.73333333
2000-01-26 00:00:00,SE,SUDESTE,26728.6125
2000-01-27 00:00:00,N,NORTE,2484.58333333
2000-01-27 00:00:00,NE,NORDESTE,6066.925
2000-01-27 00:00:00,S,SUL,7112.175
2000-01-27 00:00:00,SE,SUDESTE,25540.09166667
2000-01-28 00:00:00,N,NORTE,2493.06666667
2000-01-28 00:00:00,NE,NORDESTE,6029.79583333
2000-01-28 00:00:00,S,SUL,7059.62916667
2000-01-28 00:00:00,SE,SUDESTE,25015.54166667
2000-01-29 00:00:00,S,SUL,6214.3125
2000-01-29 00:00:00,SE,SUDESTE,22674.6625
2000-01-29 00:00:00,NE,NORDESTE,5651.62083333
2000-01-29 00:00:00,N,NORTE,2402.2625
2000-01-30 00:00:00,N,NORTE,2283.10416667
2000-01-30 00:00:00,NE,NORDESTE,5258.6875
2000-01-30 00:00:00,S,SUL,5442.13333333
2000-01-30 00:00:00,SE,SUDESTE,20515.0875
2000-01-31 00:00:00,N,NORTE,2473.93333333
2000-01-31 00:00:00,NE,NORDESTE,5984.23333333
2000-01-31 00:00:00,S,SUL,6939.6875
2000-01-31 00:00:00,SE,SUDESTE,25555.35
2000-02-01 00:00:00,N,NORTE,2466.4
2000-02-01 00:00:00,NE,NORDESTE,6221.8
2000-02-01 00:00:00,S,SUL,7101.74166667
2000-02-01 00:00:00,SE,SUDESTE,26134.625
2000-02-02 00:00:00,NE,NORDESTE,6279.74166667
2000-02-02 00:00:00,S,SUL,7031.08333333
2000-02-02 00:00:00,N,NORTE,2474.0125
2000-02-02 00:00:00,SE,SUDESTE,26217.28333333
2000-02-03 00:00:00,SE,SUDESTE,26423.97916667
2000-02-03 00:00:00,S,SUL,7394.05
2000-02-03 00:00:00,N,NORTE,2489.07916667
2000-02-03 00:00:00,NE,NORDESTE,6279.625
2000-02-04 00:00:00,N,NORTE,2495.175
2000-02-04 00:00:00,NE,NORDESTE,6181.77916667
2000-02-04 00:00:00,S,SUL,7227.8375
2000-02-04 00:00:00,SE,SUDESTE,26983.54166667
2000-02-05 00:00:00,N,NORTE,2396.475
2000-02-05 00:00:00,NE,NORDESTE,5719.7875
2000-02-05 00:00:00,S,SUL,6193.5
2000-02-05 00:00:00,SE,SUDESTE,24358.11666667
2000-02-06 00:00:00,N,NORTE,2297.23333333
2000-02-06 00:00:00,NE,NORDESTE,5320.59583333
2000-02-06 00:00:00,S,SUL,5421.05416667
2000-02-06 00:00:00,SE,SUDESTE,21316.43333333
2000-02-07 00:00:00,SE,SUDESTE,25526.54583333
2000-02-07 00:00:00,S,SUL,7014.42083333
2000-02-07 00:00:00,N,NORTE,2430.35416667
2000-02-07 00:00:00,NE,NORDESTE,5997.15
2000-02-08 00:00:00,SE,SUDESTE,26241.80416667
2000-02-08 00:00:00,S,SUL,7292.05
2000-02-08 00:00:00,N,NORTE,2439.2125
2000-02-08 00:00:00,NE,NORDESTE,6087.31666667
2000-02-09 00:00:00,N,NORTE,2437.78333333
2000-02-09 00:00:00,NE,NORDESTE,6108.20416667
2000-02-09 00:00:00,S,SUL,7389.07083333
2000-02-09 00:00:00,SE,SUDESTE,26460.02083333
2000-02-10 00:00:00,N,NORTE,2406.67916667
2000-02-10 00:00:00,NE,NORDESTE,6059.80416667
2000-02-10 00:00:00,S,SUL,7461.0
2000-02-10 00:00:00,SE,SUDESTE,26778.06666667
2000-02-11 00:00:00,SE,SUDESTE,26994.5625
2000-02-11 00:00:00,S,SUL,7537.10416667
2000-02-11 00:00:00,NE,NORDESTE,5991.82083333
2000-02-11 00:00:00,N,NORTE,2433.9
2000-02-12 00:00:00,SE,SUDESTE,24474.28333333
2000-02-12 00:00:00,S,SUL,6704.83333333
2000-02-12 00:00:00,N,NORTE,2322.17083333
2000-02-12 00:00:00,NE,NORDESTE,5600.57916667
2000-02-13 00:00:00,N,NORTE,2237.5375
2000-02-13 00:00:00,NE,NORDESTE,5096.725
2000-02-13 00:00:00,S,SUL,5621.87083333
2000-02-13 00:00:00,SE,SUDESTE,21933.0375
2000-02-14 00:00:00,N,NORTE,2391.82916667
2000-02-14 00:00:00,NE,NORDESTE,5634.05416667
2000-02-14 00:00:00,S,SUL,7096.34166667
2000-02-14 00:00:00,SE,SUDESTE,26413.97916667
2000-02-15 00:00:00,SE,SUDESTE,27523.96666667
2000-02-15 00:00:00,S,SUL,7205.73333333
2000-02-15 00:00:00,NE,NORDESTE,5781.93333333
2000-02-15 00:00:00,N,NORTE,2388.3625
2000-02-16 00:00:00,N,NORTE,2423.45
2000-02-16 00:00:00,NE,NORDESTE,5801.84583333
2000-02-16 00:00:00,S,SUL,7057.275
2000-02-16 00:00:00,SE,SUDESTE,27404.225
2000-02-17 00:00:00,N,NORTE,2444.9
2000-02-17 00:00:00,NE,NORDESTE,5841.05833333
2000-02-17 00:00:00,S,SUL,6999.0375
2000-02-17 00:00:00,SE,SUDESTE,26313.35833333
2000-02-18 00:00:00,S,SUL,6977.51666667
2000-02-18 00:00:00,SE,SUDESTE,25385.21666667
2000-02-18 00:00:00,N,NORTE,2414.95833333
2000-02-18 00:00:00,NE,NORDESTE,5837.41666667
2000-02-19 00:00:00,S,SUL,6249.7
2000-02-19 00:00:00,SE,SUDESTE,23121.12916667
2000-02-19 00:00:00,N,NORTE,2378.375
2000-02-19 00:00:00,NE,NORDESTE,5438.39166667
2000-02-20 00:00:00,SE,SUDESTE,20677.775
2000-02-20 00:00:00,S,SUL,5356.96666667
2000-02-20 00:00:00,N,NORTE,2274.7125
2000-02-20 00:00:00,NE,NORDESTE,5014.7625
2000-02-21 00:00:00,N,NORTE,2475.0375
2000-02-21 00:00:00,NE,NORDESTE,5675.65833333
2000-02-21 00:00:00,S,SUL,6987.70833333
2000-02-21 00:00:00,SE,SUDESTE,25306.75416667
2000-02-22 00:00:00,N,NORTE,2422.55833333
2000-02-22 00:00:00,NE,NORDESTE,5774.00833333
2000-02-22 00:00:00,S,SUL,7280.1625
2000-02-22 00:00:00,SE,SUDESTE,26409.38333333
2000-02-23 00:00:00,N,NORTE,2439.7875
2000-02-23 00:00:00,NE,NORDESTE,5760.19166667
2000-02-23 00:00:00,S,SUL,7296.4625
2000-02-23 00:00:00,SE,SUDESTE,27100.26666667
2000-02-24 00:00:00,SE,SUDESTE,27439.92916667
2000-02-24 00:00:00,S,SUL,7454.975
2000-02-24 00:00:00,N,NORTE,2445.15833333
2000-02-24 00:00:00,NE,NORDESTE,5768.925
2000-02-25 00:00:00,N,NORTE,2467.29166667
2000-02-25 00:00:00,NE,NORDESTE,5837.14166667
2000-02-25 00:00:00,S,SUL,7519.50833333
2000-02-25 00:00:00,SE,SUDESTE,27427.14583333
2000-02-26 00:00:00,N,NORTE,2364.76666667
2000-02-26 00:00:00,NE,NORDESTE,5513.15
2000-02-26 00:00:00,S,SUL,6667.82083333
2000-02-26 00:00:00,SE,SUDESTE,24846.50833333
2000-02-27 00:00:00,N,NORTE,2281.35833333
2000-02-27 00:00:00,NE,NORDESTE,5069.6875
2000-02-27 00:00:00,S,SUL,5624.71666667
2000-02-27 00:00:00,SE,SUDESTE,22359.49166667
2000-02-28 00:00:00,S,SUL,7223.2625
2000-02-28 00:00:00,SE,SUDESTE,27038.42083333
2000-02-28 00:00:00,NE,NORDESTE,5857.8875
2000-02-28 00:00:00,N,NORTE,2457.34583333
2000-02-29 00:00:00,N,NORTE,2466.125
2000-02-29 00:00:00,NE,NORDESTE,6073.99166667
2000-02-29 00:00:00,S,SUL,7347.80416667
2000-02-29 00:00:00,SE,SUDESTE,27465.01666667
2000-03-01 00:00:00,N,NORTE,2472.54583333
2000-03-01 00:00:00,NE,NORDESTE,6052.19583333
2000-03-01 00:00:00,S,SUL,7344.59166667
2000-03-01 00:00:00,SE,SUDESTE,27163.64166667
2000-03-02 00:00:00,SE,SUDESTE,27254.63333333
2000-03-02 00:00:00,S,SUL,7500.8625
2000-03-02 00:00:00,NE,NORDESTE,6018.39166667
2000-03-02 00:00:00,N,NORTE,2451.92916667
2000-03-03 00:00:00,N,NORTE,2373.15833333
2000-03-03 00:00:00,NE,NORDESTE,6013.88333333
2000-03-03 00:00:00,S,SUL,7428.8625
2000-03-03 00:00:00,SE,SUDESTE,27022.91666667
2000-03-04 00:00:00,N,NORTE,2349.99166667
2000-03-04 00:00:00,NE,NORDESTE,5552.49166667
2000-03-04 00:00:00,S,SUL,6430.975
2000-03-04 00:00:00,SE,SUDESTE,23923.38333333
2000-03-05 00:00:00,S,SUL,5449.625
2000-03-05 00:00:00,SE,SUDESTE,21465.73333333
2000-03-05 00:00:00,N,NORTE,2312.58333333
2000-03-05 00:00:00,NE,NORDESTE,5107.4375
2000-03-06 00:00:00,NE,NORDESTE,5180.6125
2000-03-06 00:00:00,S,SUL,6348.71666667
2000-03-06 00:00:00,N,NORTE,2328.70833333
2000-03-06 00:00:00,SE,SUDESTE,22983.175
2000-03-07 00:00:00,SE,SUDESTE,22622.49583333
2000-03-07 00:00:00,S,SUL,6131.35
2000-03-07 00:00:00,N,NORTE,2286.57916667
2000-03-07 00:00:00,NE,NORDESTE,5142.34583333
2000-03-08 00:00:00,N,NORTE,2385.08333333
2000-03-08 00:00:00,NE,NORDESTE,5654.4625
2000-03-08 00:00:00,S,SUL,6789.9625
2000-03-08 00:00:00,SE,SUDESTE,24392.80416667
2000-03-09 00:00:00,N,NORTE,2440.03333333
2000-03-09 00:00:00,NE,NORDESTE,6083.47083333
2000-03-09 00:00:00,S,SUL,7020.40416667
2000-03-09 00:00:00,SE,SUDESTE,25594.61666667
2000-03-10 00:00:00,SE,SUDESTE,26008.2875
2000-03-10 00:00:00,S,SUL,7106.22083333
